item_id,item_name,inventory_count,sold_count,item_description,retail_price,vendor_price,vendor_id
3123,Swimming Supplies,65,65,Proin ut ex nec magna blandit maximus ac in magna,65,0,779999
3124,Outdoors Gear,42,42,Proin in mi ex.,184,0,770003
3125,Biking Instrument,70,70,"Aliquam a ligula ornare, ullamcorper mauris a, tempor justo",55.99,0,770002
3126,Camera Widget,53,53,Nulla eu justo lorem.,176.99,0,770001
3127,Bedding Accessory,62,62,Pellentesque faucibus tempor mi eget tincidunt,84,0,770222
3128,Movie Component,28,28,Ut eu nulla vitae ipsum vestibulum eleifend,195,0,779999
3129,Cat Gadget,70,70,Sed rutrum lobortis erat finibus aliquam,141.95,0,770003
3130,Toy Paraphernalia,61,61,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Nam a lectus nibh.,185.95,0,770002
3131,Baby Instrument,36,36,"Fusce imperdiet augue id tellus laoreet, ac blandit ante ullamcorper",146.95,0,770001
3132,Kids Machine,37,37,Suspendisse ornare quis odio eget suscipit,48.95,0,770222
3133,Bedding Supplies,75,75,"Sed sagittis, metus eu fermentum ultrices, nibh risus malesuada felis, eu interdum ipsum felis nec nulla",189,0,779999
3134,Storage Tool,55,55,Nulla ac libero felis,101,0,770003
3135,Medicine Implement,70,70,Cras et pulvinar lorem,68.99,0,770002
3136,Party Kit,46,46,Fusce quis dui sed ligula viverra tempus in ac orci,187.95,0,770001
3137,Kitchen Tool,50,50,"Integer viverra venenatis mauris, a pharetra dolor accumsan a",88.99,0,770222
3138,Mens Doodad,38,38,"Pellentesque gravida, quam quis consequat consequat, erat elit faucibus nulla, vel condimentum est nulla ac ligula",97,0,779999
3139,Cleaning Instrument,63,63,Sed venenatis maximus bibendum,145.99,0,770003
3140,Swimming Rig,69,69,"In vitae justo aliquam, molestie dui eu, varius odio",112,0,770002
3141,Party Thingamajig,43,43,Cras accumsan faucibus purus a consequat,50.99,0,770001
3142,Outdoors Component,65,65,Nullam aliquet sodales ligula vel fringilla,64,0,770222
3143,Truck Whatchamacallit,30,30,Integer ut tellus leo,79.99,0,779999
3144,Sports Kit,49,49,Nulla non odio eget orci rhoncus tempor id at enim.,147,0,770003
3145,Nutrition Whatchamacallit,18,18,Pellentesque vel suscipit metus.,103.95,0,770002
3146,Truck Supplies,52,52,Aenean laoreet nulla id quam fermentum facilisis,137.99,0,770001
3147,Outdoors Machine,62,62,Vestibulum tempor dictum felis non condimentum,157,0,770222
3148,Aquarium Device,62,62,Vestibulum venenatis pellentesque augue in dictum.,45.99,0,779999
3149,Personal Contraption,62,62,Ut maximus pretium ex sit amet malesuada,164,0,770003
3150,Gardening Gadget,36,36,Praesent ut nibh vitae eros vestibulum semper,76.99,0,770002
3151,Baby Gear,66,66,Donec eu lorem lectus,55.95,0,770001
3152,Jewelry Widget,40,40,"Phasellus vehicula est ex, elementum consequat dui ornare non",143,0,770222
3153,Sports Gizmo,24,24,Donec quis elit sit amet justo porttitor condimentum et nec urna,151.99,0,779999
3154,Phone Tool,33,33,Nunc pulvinar dui eu vulputate sagittis,140.99,0,770003
3155,Beach Gear,61,61,Pellentesque vel ultrices felis,141,0,770002
3156,Movie Implement,34,34,Phasellus molestie justo a metus pellentesque finibus,166,0,770001
3157,Hair Care Doodad,22,22,Sed interdum et tortor ut laoreet,172.95,0,770222
3158,Swimming Rig,48,48,Nulla in diam ut magna semper varius.,64.99,0,779999
3159,Mens Tool,31,31,Nulla congue posuere ligula ac pulvinar,20,0,770003
3160,Nutrition Gear,49,49,Vivamus suscipit dolor in nisi dapibus fermentum,182.99,0,770002
3161,Baby Component,25,25,Pellentesque posuere imperdiet maximus,78.95,0,770001
3162,Personal Contraption,41,41,"Ut non hendrerit velit, nec mattis dolor",119.95,0,770222
3163,Camera Contraption,67,67,Aenean eget turpis quis lorem porta condimentum eu vel orci,59.99,0,779999
3164,Skin Care Rig,53,53,Aenean vitae consequat elit,20.99,0,770003
3165,Kitchen Thingamajig,44,44,Sed id congue augue.,192,0,770002
3166,Dog Doodad,76,76,"Proin vitae venenatis nibh, at tempus nibh",84.99,0,770001
3167,Nutrition Implement,39,39,"Etiam viverra, lacus ac mollis suscipit, eros enim varius metus, a pulvinar velit nunc congue sapien",23.99,0,770222
3168,Car Apparatus,64,64,"Phasellus vitae ullamcorper lectus, non mattis augue",133.99,0,779999
3169,Phone Implement,69,69,"Integer luctus orci vel metus elementum, sit amet rutrum nisi cursus",144.95,0,770003
3170,Bedding Tool,44,44,Etiam interdum odio nec suscipit finibus,143.95,0,770002
3171,Cleaning Gizmo,23,23,Duis id enim sed lectus pellentesque lobortis in sit amet magna,47.95,0,770001
3172,Movie Kit,62,62,"Nullam malesuada nulla tellus, a condimentum nulla pulvinar vel",110.95,0,770222
3173,Dog Instrument,62,62,Maecenas condimentum eros eget vestibulum aliquam,92.95,0,779999
3174,Outdoors Paraphernalia,57,57,"Sed luctus metus velit, ut molestie ipsum auctor quis",145.99,0,770003
3175,Car Machine,66,66,"Curabitur volutpat nisl ut arcu fermentum, sit amet commodo lectus viverra",138.99,0,770002
3176,Party Mechanism,57,57,Proin ut ex nec magna blandit maximus ac in magna,15.99,0,770001
3177,Game Attachment,27,27,Phasellus eu urna sapien,109.95,0,770222
3178,Jewelry Equipment,32,32,"Nam vestibulum lacus neque, quis maximus ipsum maximus at",39.99,0,779999
3179,Home Improvement Paraphernalia,46,46,Aenean hendrerit venenatis auctor.,33.99,0,770003
3180,Storage Paraphernalia,47,47,Quisque id est turpis,25,0,770002
3181,Outdoors Whatchamacallit,61,61,Suspendisse hendrerit ornare lorem ut pulvinar,84,0,770001
3182,Technology Thingamajig,71,71,"Maecenas nisi libero, dignissim nec faucibus nec, elementum vitae neque",191.95,0,770222
3183,Biking Component,77,77,Mauris ac sapien a est dictum volutpat,124.95,0,779999
3184,Aquarium Implement,64,64,"Sed purus urna, egestas ac dolor vehicula, cursus mattis turpis",89.95,0,770003
3185,Kitchen Device,42,42,"Cras pellentesque nunc at libero scelerisque, id ultricies turpis sagittis",28.99,0,770002
3186,Movie Device,38,38,Maecenas ut commodo lacus,74,0,770001
3187,Game Doodad,33,33,Praesent gravida convallis ipsum a euismod,29,0,770222
3188,Fitness Mechanism,73,73,"Aenean vehicula, dui ac molestie dapibus, dui diam semper urna, eu porta elit magna eget justo",48.95,0,779999
3189,Phone Implement,72,72,Suspendisse potenti,14.99,0,770003
3190,Swimming Tool,65,65,In mattis pulvinar ex in lobortis.,177.95,0,770002
3191,Storage Attachment,41,41,Etiam ac ultrices augue,154,0,770001
3192,Beach Item,71,71,"Nullam viverra elit lectus, ac pellentesque lorem porttitor vulputate",120,0,770222
3193,Dining Gear,31,31,"In imperdiet purus metus, id condimentum lectus ultricies vel",163.95,0,779999
3194,Kitchen Machine,35,35,"Praesent elementum nibh vitae metus dignissim, vel suscipit lorem volutpat",166.99,0,770003
3195,Furniture Thingamajig,54,54,"Vestibulum sollicitudin dignissim mauris, vitae aliquet nisi vestibulum vitae.",147.95,0,770002
3196,Makeup Attachment,70,70,Curabitur fringilla lacus ac lacus dignissim condimentum mollis in est,23.99,0,770001
3197,Party Whatchamacallit,59,59,"Proin sapien tortor, fermentum eu ante vel, faucibus euismod tellus",126.95,0,770222
3198,Kitchen Kit,56,56,Quisque vel felis libero,26.99,0,779999
3199,Biking Gizmo,43,43,Etiam malesuada et enim nec gravida,136,0,770003
3200,Book Machine,51,51,"Nullam malesuada nulla tellus, a condimentum nulla pulvinar vel",75.95,0,770002
3201,Music Contraption,43,43,Etiam gravida purus porta arcu luctus pharetra,17,0,770001
3202,Cooking Whatchamacallit,65,65,In iaculis in risus condimentum rhoncus,51.95,0,770222
3203,Medicine Paraphernalia,41,41,Sed consequat felis sed elementum semper,171.95,0,779999
3204,Nutrition Doodad,66,66,"Suspendisse quam erat, euismod eget velit sed, elementum venenatis lacus",11.99,0,770003
3205,Outdoors Accessory,45,45,In iaculis in risus condimentum rhoncus,130,0,770002
3206,Camera Instrument,20,20,"Etiam neque libero, semper sed ex eu, rutrum dignissim diam",77.95,0,770001
3207,Camping Thingamajig,51,51,Vestibulum ornare arcu est,27,0,770222
3208,Medicine Component,61,61,"Duis sed dapibus orci, nec iaculis nisi",192.95,0,779999
3209,Phone Rig,68,68,Vestibulum sagittis dolor nec sodales rutrum,106.95,0,770003
3210,First Aid Attachment,36,36,"Maecenas laoreet tellus augue, id dictum magna dictum non",164.95,0,770002
3211,Toy Supplies,62,62,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Suspendisse luctus luctus metus et eleifend,88,0,770001
3212,Mens Accessory,55,55,Sed id nulla velit.,30,0,770222
3213,Tire Widget,27,27,"Maecenas molestie imperdiet purus, eget imperdiet velit convallis sed",160.99,0,779999
3214,Sports Component,19,19,"Sed leo arcu, venenatis quis blandit eu, hendrerit ut arcu",12,0,770003
3215,Dining Accessory,35,35,"Duis suscipit, odio convallis luctus pulvinar, urna turpis vehicula urna, et pulvinar dolor justo id lacus",116,0,770002
3216,First Aid Contraption,51,51,"Pellentesque dictum neque purus, non cursus enim venenatis vitae",94.99,0,770001
3217,Mens Attachment,70,70,"Morbi dignissim ipsum orci, sit amet malesuada tortor venenatis tempor",104.99,0,770222
3218,First Aid Gizmo,49,49,"Suspendisse a auctor tortor, in lacinia massa",157.95,0,779999
3219,Skin Care Equipment,66,66,Sed ultrices nunc enim,104.99,0,770003
3220,Kitchen Rig,66,66,Praesent quis nisl congue dui pretium tempor,77,0,770002
3221,Computer Kit,57,57,"Sed volutpat porttitor arcu, ac condimentum ligula",138,0,770001
3222,Movie Machine,45,45,"Aenean erat tortor, vehicula vitae mattis non, elementum vel urna",94.99,0,770222
3223,Womens Mechanism,35,35,"Donec quis gravida lorem, vel ornare nunc",105.95,0,779999
3224,Makeup Supplies,18,18,"Suspendisse cursus diam nulla, eu pellentesque ipsum viverra at",45.99,0,770003
3225,Makeup Doodad,22,22,"Sed quis cursus turpis, lacinia interdum dolor",83.95,0,770002
3226,Sports Supplies,35,35,"Donec ut urna varius, porta turpis ut, interdum massa",38.95,0,770001
3227,Fitness Gizmo,60,60,"Mauris justo ligula, gravida eget posuere eget, ultrices ut augue",186.95,0,770222
3228,Tire Gear,45,45,Nunc faucibus nec diam mattis semper,98.99,0,779999
3229,Movie Tool,43,43,Praesent sit amet ex eget massa malesuada laoreet ac non sapien,168.95,0,770003
3230,Book Instrument,68,68,Proin vitae rutrum nibh,166.95,0,770002
3231,Toy Gadget,40,40,Duis at arcu non leo facilisis ullamcorper in sit amet orci,146.95,0,770001
3232,Kids Machine,35,35,Mauris nec molestie tortor,17,0,770222
3233,Bath Component,71,71,Sed ac commodo ligula,57.99,0,779999
3234,Truck Doodad,42,42,Sed bibendum egestas lacinia.,89,0,770003
3235,Tire Thingamajig,39,39,"Fusce orci justo, elementum vel mi sit amet, ultrices tempor eros",157.99,0,770002
3236,First Aid Supplies,71,71,"Suspendisse id finibus orci, a vehicula nibh",90.95,0,770001
3237,Home Improvement Gadget,32,32,"Vivamus sit amet fringilla massa, id maximus libero",170.95,0,770222
3238,Engine Apparatus,63,63,"Curabitur tincidunt placerat ante, ac venenatis tellus ullamcorper cursus.",33.95,0,779999
3239,Truck Tool,63,63,Nullam id augue vitae nulla interdum pharetra ut et turpis,198,0,770003
3240,Bedding Implement,19,19,Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas,62.95,0,770002
3241,Music Apparatus,20,20,"Nam venenatis metus nibh, malesuada vestibulum purus consectetur eu",48.95,0,770001
3242,Outdoors Gadget,76,76,Fusce eget orci non sapien gravida sagittis,105,0,770222
3243,Kitchen Apparatus,74,74,Curabitur iaculis vitae erat in eleifend.,179.95,0,779999
3244,Storage Machine,58,58,"Maecenas pellentesque pellentesque mauris, at varius risus posuere ac",58,0,770003
3245,Bedding Instrument,43,43,Pellentesque dictum ante vitae tempor sodales,79.99,0,770002
3246,Medicine Component,59,59,Proin in neque vel lorem tincidunt laoreet eget faucibus est,79.99,0,770001
3247,Swimming Device,66,66,"Morbi suscipit mi eget tortor euismod, a congue nibh finibus",23.99,0,770222
3248,Dog Supplies,21,21,"Mauris euismod, est nec consectetur blandit, diam nisi lobortis enim, vitae suscipit libero erat hendrerit sapien",11,0,779999
3249,Gardening Instrument,59,59,Etiam ut venenatis leo.,13.95,0,770003
3250,Vitamin Contraption,56,56,Phasellus mattis justo non metus vulputate vehicula,128.99,0,770002
3251,Fitness Gadget,47,47,Fusce eget orci non sapien gravida sagittis,73.95,0,770001
3252,Truck Machine,35,35,"Proin auctor urna sed erat lacinia, et aliquam lacus hendrerit",169.99,0,770222
3253,Book Instrument,42,42,"Donec euismod tincidunt arcu, sit amet euismod purus placerat non",23.99,0,779999
3254,Storage Gizmo,68,68,In lacinia nunc sagittis mauris ullamcorper interdum,180,0,770003
3255,Jewelry Gear,28,28,"Morbi dignissim ipsum orci, sit amet malesuada tortor venenatis tempor",119,0,770002
3256,Camping Widget,18,18,Suspendisse potenti,95,0,770001
3257,Sports Thingamajig,35,35,Ut venenatis id velit id interdum,170.95,0,770222
3258,Aquarium Gizmo,56,56,"Sed leo arcu, venenatis quis blandit eu, hendrerit ut arcu",97.99,0,779999
3259,Camping Widget,37,37,Fusce efficitur metus ut orci ullamcorper suscipit,116.99,0,770003
3260,Phone Apparatus,27,27,"Vivamus justo nulla, tempus et magna et, cursus scelerisque turpis",153.99,0,770002
3261,Toy Instrument,49,49,"Donec fringilla erat a neque dignissim, sit amet pharetra odio pulvinar",184.99,0,770001
3262,Baby Gizmo,74,74,"Maecenas augue risus, mattis fringilla facilisis nec, maximus sed ligula",15,0,770222
3263,Engine Paraphernalia,61,61,Sed id convallis tellus,133.99,0,779999
3264,Truck Mechanism,18,18,Donec vitae risus vel lacus eleifend scelerisque.,168.95,0,770003
3265,Biking Gear,62,62,Curabitur sit amet felis ac tellus blandit sagittis vel eget arcu,25.95,0,770002
3266,Biking Machine,77,77,"Aenean dignissim urna et ante ullamcorper, eget finibus lorem feugiat",111.95,0,770001
3267,Swimming Supplies,18,18,Curabitur id est egestas neque mattis laoreet vel vitae lectus,96,0,770222
3268,Storage Item,26,26,Nunc egestas elementum laoreet,178.99,0,779999
3269,Mens Contraption,26,26,"Quisque ultricies massa turpis, quis venenatis justo vehicula vel",178,0,770003
3270,Computer Kit,33,33,Ut non nisi felis,81.99,0,770002
3271,Movie Machine,26,26,In vitae dui mi,138.99,0,770001
3272,Home Improvement Doodad,73,73,"Morbi suscipit mi eget tortor euismod, a congue nibh finibus",58,0,770222
3273,Computer Kit,45,45,"Nunc ut purus vestibulum, tincidunt nunc in, congue ante",84,0,779999
3274,Personal Equipment,65,65,"In rhoncus ante at lacus maximus, at gravida velit viverra",181.95,0,770003
3275,Gardening Supplies,46,46,Integer laoreet purus eget enim imperdiet ultrices,48.95,0,770002
3276,Kids Apparatus,73,73,Fusce at nunc orci,195.95,0,770001
3277,Beach Accessory,45,45,Praesent eget velit quam,85.99,0,770222
3278,Camping Item,29,29,Praesent maximus cursus imperdiet,27.95,0,779999
3279,First Aid Supplies,69,69,Ut molestie mollis urna in lobortis,167.99,0,770003
3280,Engine Tool,19,19,"Mauris orci ex, convallis efficitur dapibus id, viverra ac nibh.",20,0,770002
3281,Camera Gadget,26,26,"Proin vulputate pulvinar quam, aliquet iaculis eros pellentesque ac",103.95,0,770001
3282,Swimming Apparatus,66,66,Fusce convallis consequat sodales,47,0,770222
3283,Computer Mechanism,66,66,"Mauris magna risus, scelerisque in lacinia non, pulvinar nec nulla",41.95,0,779999
3284,Medicine Gear,55,55,"Aliquam diam quam, consequat et vestibulum vel, elementum nec elit",116.99,0,770003
3285,Gardening Paraphernalia,40,40,Phasellus varius dapibus nisi a egestas,15,0,770002
3286,Mens Implement,42,42,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Nam a lectus nibh.,96,0,770001
3287,Car Machine,18,18,Praesent maximus cursus imperdiet,145.99,0,770222
